,SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID,brand,average_speed,avg_daily_charges,fatigue_driving_ratio,late_night_trip_ratio,avg_late_night_trip_mileage,high_temp_driving_ratio,battery_type_lfp,initial_battery_soc,avg_charge_duration,insurance_commercial_third_party,insurance_compulsory_third_party,average_loss,predicted_premium
10,1,06-MAR-24,06-MAR-25,2024,1205,286542.83,6459.06,5000000010,2017,2,14,客车,2300.0,奔驰,商用,0.0,品牌E,51.12,0.0,0.101199,0.129292,2.37,0.160952,0,77.94,2199.62,0,1,0.0,4811.23
11,0,27-AUG-23,26-AUG-24,2023,1202,169200.39,3274.16,5000000011,2014,5,0,SUV,3100.0,大众,自用货物,0.0,品牌A,85.0,0.0,0.012238,0.045369,7.48,0.071965,0,0.0,0.0,0,1,0.0,1940.31
12,0,13-AUG-22,13-AUG-23,2022,1205,106355.8,2732.21,5000000012,2020,3,13,皮卡,2200.0,大众,自用货物,37772.96,品牌D,67.71,29.91,0.196511,0.05451,3.75,0.044624,0,0.0,0.0,0,1,18114.46,1078.91
13,0,04-JUN-23,03-JUN-24,2023,1204,392491.28,8022.01,5000000013,2015,5,0,轿车,2700.0,奥迪,商用,0.0,品牌B,67.76,0.0,0.051702,0.168686,1.67,0.155739,0,0.0,0.0,0,1,0.0,1979.11
14,1,17-OCT-23,16-OCT-24,2023,1203,445755.44,5379.95,5000000014,2019,3,10,客车,3900.0,奥迪,公务,0.0,品牌C,83.26,34.62,2e-06,0.043696,1.62,0.026167,1,53.75,2301.43,1,1,0.0,4433.53
15,1,04-MAR-23,03-MAR-24,2023,1202,405922.43,2994.43,5000000015,2015,5,0,SUV,3100.0,长安,自用货物,14229.11,品牌B,64.57,0.0,0.162082,0.244099,1.12,0.020588,1,62.76,6421.66,1,1,9558.46,2985.21
16,1,24-FEB-23,24-FEB-24,2023,1206,220840.39,3074.08,5000000016,2021,4,0,MPV,1100.0,奥迪,公务,17222.37,品牌B,36.48,0.0,0.020092,0.061144,9.91,0.05583,0,80.8,6138.25,1,1,18769.08,2134.33
17,0,16-NOV-23,15-NOV-24,2023,1206,472832.96,8893.48,5000000017,2019,2,5,货车,3200.0,奔驰,商用,0.0,品牌A,64.07,0.0,0.033993,0.076582,0.36,0.162771,0,0.0,0.0,1,1,0.0,4635.48
18,0,11-NOV-22,11-NOV-23,2022,1202,321381.78,2366.26,5000000018,2020,2,2,客车,6000.0,奥迪,租赁,6463.79,品牌D,87.65,10.7,0.057358,0.091712,0.29,0.000724,1,32.91,2277.27,0,1,7836.22,12392.85
19,0,09-DEC-23,08-DEC-24,2023,1202,159876.9,1168.5,5000000019,2016,3,1,货车,3400.0,大众,商用,0.0,品牌C,38.85,62.08,0.02948,0.25344,4.21,0.151815,0,78.47,2233.61,1,1,0.0,3646.17
20,1,27-SEP-22,27-SEP-23,2022,1203,240371.82,4957.58,5000000020,2012,3,14,客车,2900.0,奔驰,租赁,0.0,品牌C,82.16,26.8,0.064768,0.180485,5.02,0.064915,0,71.34,4770.48,0,1,0.0,4835.05
21,0,11-MAY-24,11-MAY-25,2024,1203,232762.26,1807.79,5000000021,2023,5,0,MPV,1900.0,长安,家用,41366.35,品牌C,63.11,80.84,0.043968,0.220805,0.58,0.141422,0,49.0,5819.41,0,1,5077.42,2647.9
22,0,30-NOV-23,29-NOV-24,2023,1205,88237.98,1129.55,5000000022,2016,4,0,轿车,2200.0,比亚迪,家用,0.0,品牌C,45.69,50.54,0.045138,0.282894,1.92,0.075288,0,68.19,5564.18,0,1,0.0,1087.19
23,1,19-MAR-23,18-MAR-24,2023,1204,281695.32,6224.39,5000000023,2022,2,14,皮卡,2700.0,本田,商用,17369.57,品牌E,73.88,0.0,0.147111,0.103601,8.53,0.12706,0,0.0,0.0,0,1,11846.75,1916.24
24,1,05-AUG-22,05-AUG-23,2022,1203,333664.05,6976.77,5000000024,2021,4,9,皮卡,4900.0,丰田,公务,0.0,品牌D,72.8,67.14,0.1618,0.160283,4.94,0.039116,0,86.41,2251.25,0,1,0.0,1105.34
25,0,09-AUG-23,08-AUG-24,2023,1203,125392.49,3341.98,5000000025,2018,3,15,货车,5100.0,长安,家用,0.0,品牌C,77.44,79.32,0.048215,0.167633,2.19,0.146184,0,73.35,5826.02,0,1,0.0,3138.19
26,0,10-DEC-22,10-DEC-23,2022,1205,318592.48,2877.67,5000000026,2016,4,14,货车,5700.0,大众,自用货物,0.0,品牌A,39.48,0.0,0.169612,0.059836,7.19,0.14908,1,31.29,3783.38,0,1,0.0,3282.5
27,0,10-MAY-24,10-MAY-25,2024,1202,329320.58,5298.13,5000000027,2019,7,0,MPV,1600.0,本田,商用,0.0,品牌E,97.14,0.0,0.01097,0.028366,7.22,0.02965,1,83.11,6558.33,0,1,0.0,2395.17
28,1,05-JUL-23,04-JUL-24,2023,1203,167558.01,2698.01,5000000028,2018,4,0,SUV,1600.0,宝马,家用,0.0,品牌C,99.3,35.23,0.078452,0.244888,2.84,0.151422,0,0.0,0.0,1,1,0.0,1907.14
29,0,26-MAY-22,26-MAY-23,2022,1203,358958.84,2562.58,5000000029,2013,3,11,皮卡,5100.0,丰田,公务,0.0,品牌A,43.79,0.0,0.040203,0.013986,9.59,0.059542,0,50.11,3053.07,0,1,0.0,835.95
30,0,24-NOV-23,23-NOV-24,2023,1206,139816.58,1722.88,5000000030,2017,3,11,货车,3400.0,本田,公务,0.0,品牌E,74.65,0.0,0.134352,0.268799,4.01,0.176109,1,37.93,4753.14,0,1,0.0,2584.82
31,1,12-SEP-23,11-SEP-24,2023,1205,220591.23,5914.6,5000000031,2022,3,8,货车,2300.0,大众,公务,0.0,品牌D,79.04,21.65,0.088002,0.021802,8.65,0.107879,0,0.0,0.0,0,1,0.0,3193.82
32,1,15-DEC-22,15-DEC-23,2022,1205,119127.64,2024.58,5000000032,2016,2,11,货车,4100.0,宝马,公务,0.0,品牌E,92.57,0.0,0.192589,0.204551,7.72,0.103446,0,0.0,0.0,0,1,0.0,2720.55
33,1,13-MAY-24,13-MAY-25,2024,1204,197399.16,4365.45,5000000033,2015,3,18,货车,5500.0,比亚迪,家用,13269.68,品牌B,32.2,0.0,0.193912,0.18688,4.73,0.19146,0,0.0,0.0,0,1,1516.84,3340.87
34,0,30-JAN-23,30-JAN-24,2023,1206,436369.72,2376.85,5000000034,2014,7,0,SUV,2800.0,奥迪,商用,0.0,品牌D,93.89,95.07,0.102659,0.242093,3.39,0.071308,0,0.0,0.0,1,1,0.0,3012.11
35,0,21-MAR-23,20-MAR-24,2023,1205,487527.69,2717.84,5000000035,2015,5,0,轿车,2900.0,奔驰,租赁,0.0,品牌E,62.07,0.0,0.188974,0.198076,5.75,0.131286,0,52.39,4003.77,0,1,0.0,2477.07
36,0,09-DEC-22,09-DEC-23,2022,1205,310551.8,3350.9,5000000036,2018,7,0,轿车,1700.0,别克,商用,28660.1,品牌D,67.44,55.64,0.115393,0.270404,4.19,0.06314,0,0.0,0.0,1,1,12772.34,2565.53
37,1,14-JAN-23,14-JAN-24,2023,1202,247810.5,4829.98,5000000037,2020,4,16,客车,5500.0,别克,租赁,13837.85,品牌D,77.43,71.94,0.151433,0.034782,8.37,0.183232,0,66.14,6613.17,1,1,4532.72,11309.61
38,0,10-JUL-23,09-JUL-24,2023,1205,383755.12,3374.81,5000000038,2016,5,0,轿车,3400.0,比亚迪,家用,0.0,品牌E,70.97,0.0,0.114259,0.040847,4.02,0.056599,1,61.35,6022.86,0,1,0.0,1634.5
39,1,27-OCT-23,26-OCT-24,2023,1202,447543.3,9969.0,5000000039,2015,4,0,MPV,1500.0,宝马,商用,0.0,品牌A,91.19,0.0,0.128583,0.2459,8.66,0.166886,0,0.0,0.0,1,1,0.0,2108.15
40,1,10-APR-24,10-APR-25,2024,1204,102471.71,1519.47,5000000040,2017,3,10,客车,5600.0,长安,商用,18215.11,品牌A,95.37,0.0,0.133432,0.221427,2.41,0.145725,0,82.96,1823.66,0,1,13587.39,7217.77
41,1,25-AUG-22,25-AUG-23,2022,1204,109524.22,930.69,5000000041,2014,4,20,皮卡,3100.0,长安,自用货物,0.0,品牌D,95.35,26.64,0.106835,0.04609,6.78,0.149108,0,0.0,0.0,1,1,0.0,614.21
42,1,15-FEB-23,15-FEB-24,2023,1205,258210.8,6359.36,5000000042,2023,7,0,MPV,3100.0,大众,家用,17881.0,品牌A,79.95,0.0,0.120691,0.050286,3.82,0.039859,1,38.57,2321.79,1,1,11176.17,3429.42
43,0,26-SEP-23,25-SEP-24,2023,1204,165771.18,4849.25,5000000043,2022,4,0,MPV,2700.0,奥迪,公务,42966.66,品牌A,66.44,0.0,0.031504,0.243172,1.41,0.188844,1,69.73,3630.2,0,1,12633.06,2953.1
44,0,14-OCT-23,13-OCT-24,2023,1205,158226.31,943.73,5000000044,2018,3,19,皮卡,3400.0,大众,家用,0.0,品牌D,64.98,67.86,0.079749,0.182034,6.38,0.144815,0,0.0,0.0,1,1,0.0,770.38
45,1,02-JUN-23,01-JUN-24,2023,1201,408161.0,8853.54,5000000045,2013,5,0,轿车,3300.0,比亚迪,自用货物,48712.34,品牌B,66.61,0.0,0.193868,0.213068,8.91,0.009984,0,0.0,0.0,0,1,17800.18,1829.48
46,1,08-JUL-23,07-JUL-24,2023,1205,296107.93,5579.94,5000000046,2021,7,0,轿车,3100.0,奥迪,自用货物,0.0,品牌C,54.46,54.77,0.179367,0.254405,6.07,0.19768,0,0.0,0.0,1,1,0.0,1906.05
47,0,14-AUG-22,14-AUG-23,2022,1204,228520.7,5266.19,5000000047,2017,2,10,皮卡,2800.0,奔驰,公务,41510.53,品牌C,85.04,94.3,0.078966,0.207441,5.98,0.015301,1,37.67,4948.53,1,1,9239.69,1089.75
48,0,17-FEB-23,17-FEB-24,2023,1204,392230.11,5754.58,5000000048,2014,4,0,SUV,2100.0,别克,公务,0.0,品牌E,33.01,0.0,0.018112,0.008107,2.72,0.111139,1,65.6,2578.26,1,1,0.0,1878.01
49,1,21-AUG-23,20-AUG-24,2023,1206,422264.34,10739.16,5000000049,2023,2,2,客车,4600.0,别克,租赁,40740.67,品牌A,77.99,0.0,0.169191,0.238562,7.73,0.151332,0,0.0,0.0,1,1,2372.21,12985.19
50,1,24-AUG-22,24-AUG-23,2022,1203,444858.66,11771.54,5000000050,2013,7,0,MPV,2500.0,比亚迪,公务,30546.13,品牌C,76.81,69.45,0.153609,0.219553,6.03,0.112022,0,0.0,0.0,1,1,19714.41,2190.65
51,0,13-AUG-22,13-AUG-23,2022,1204,267568.4,4872.38,5000000051,2016,3,5,货车,4700.0,奥迪,租赁,0.0,品牌E,40.19,0.0,0.038564,0.034952,1.45,0.090204,0,0.0,0.0,1,1,0.0,5298.99
52,0,21-SEP-22,21-SEP-23,2022,1202,260300.83,3925.16,5000000052,2018,4,0,SUV,2700.0,大众,商用,0.0,品牌B,71.31,0.0,0.089416,0.162217,0.14,0.118021,1,66.46,6849.29,0,1,0.0,3774.91
53,0,12-JUN-22,12-JUN-23,2022,1202,67653.93,1973.2,5000000053,2019,5,0,MPV,2900.0,本田,租赁,0.0,品牌E,61.25,0.0,0.168238,0.097074,3.83,0.001131,0,0.0,0.0,0,1,0.0,3709.91
54,0,29-MAR-24,29-MAR-25,2024,1202,186285.79,4758.95,5000000054,2021,7,0,SUV,1300.0,大众,租赁,0.0,品牌D,43.54,69.33,0.002678,0.226337,6.83,0.11078,1,76.01,6413.74,1,1,0.0,3592.04
55,0,22-DEC-22,22-DEC-23,2022,1205,164797.51,3223.68,5000000055,2019,4,6,皮卡,4600.0,大众,自用货物,0.0,品牌C,43.36,64.38,0.074329,0.28048,3.43,0.130831,1,48.7,1817.55,1,1,0.0,853.84
56,1,21-DEC-22,21-DEC-23,2022,1201,402031.31,7240.29,5000000056,2022,5,0,轿车,1500.0,比亚迪,自用货物,0.0,品牌C,56.79,70.25,0.085995,0.286016,9.21,0.041041,0,0.0,0.0,0,1,0.0,1699.24
57,0,07-SEP-22,07-SEP-23,2022,1204,443338.01,8199.36,5000000057,2021,2,8,货车,3100.0,比亚迪,租赁,23516.52,品牌C,55.44,10.65,0.13085,0.053301,4.58,0.115191,1,39.49,3247.81,1,1,18303.74,8266.81
58,0,05-MAY-24,05-MAY-25,2024,1201,263391.3,1351.66,5000000058,2024,3,1,客车,2200.0,丰田,租赁,7112.68,品牌B,45.55,0.0,0.110237,0.092078,1.59,0.13168,0,74.35,4433.71,1,1,18354.17,11112.28
59,0,02-MAR-24,02-MAR-25,2024,1203,65782.14,1214.64,5000000059,2020,4,18,客车,3200.0,别克,公务,0.0,品牌B,99.0,0.0,0.146723,0.248736,3.95,0.15534,0,81.88,6756.79,0,1,0.0,3884.34
60,1,20-MAY-23,19-MAY-24,2023,1201,187143.33,1388.11,5000000060,2019,3,6,货车,4300.0,别克,自用货物,0.0,品牌B,91.67,0.0,0.051612,0.103024,3.44,0.19423,1,77.2,4256.88,0,1,0.0,3191.68
61,1,10-AUG-23,09-AUG-24,2023,1204,307847.49,3471.33,5000000061,2022,5,0,MPV,2100.0,本田,自用货物,0.0,品牌C,67.05,75.46,0.168097,0.29407,7.67,0.192003,0,0.0,0.0,1,1,0.0,2198.73
62,0,01-NOV-23,31-OCT-24,2023,1206,151546.46,890.15,5000000062,2013,3,14,客车,2100.0,奥迪,自用货物,15266.5,品牌B,59.21,0.0,0.08753,0.008886,6.04,0.026121,1,70.34,1936.34,1,1,19771.46,3289.97
63,0,24-JAN-24,23-JAN-25,2024,1201,180731.01,1818.69,5000000063,2021,2,1,皮卡,5500.0,大众,自用货物,26138.67,品牌C,92.43,26.35,0.122155,0.062714,6.93,0.071557,1,77.58,6490.14,1,1,12522.83,1126.0
64,1,06-NOV-23,05-NOV-24,2023,1202,282931.98,7030.67,5000000064,2022,4,4,皮卡,2800.0,别克,家用,4949.33,品牌B,42.77,0.0,0.058331,0.101072,5.35,0.011956,0,37.59,2269.82,0,1,14838.65,1363.47
65,1,23-MAY-23,22-MAY-24,2023,1201,233693.42,4180.06,5000000065,2019,2,14,客车,2100.0,奔驰,租赁,20672.73,品牌D,61.92,67.81,0.105163,0.138581,1.56,0.146324,0,0.0,0.0,0,1,8656.91,8769.2
66,0,09-JAN-24,08-JAN-25,2024,1202,241966.62,1967.83,5000000066,2017,4,16,货车,2300.0,丰田,自用货物,3298.34,品牌E,79.26,0.0,0.014886,0.258806,8.1,0.075179,0,64.9,2007.89,1,1,4932.38,2979.91
67,1,12-DEC-22,12-DEC-23,2022,1201,228340.63,6335.74,5000000067,2019,4,1,客车,6000.0,丰田,公务,0.0,品牌D,43.73,18.63,0.169759,0.231271,7.15,0.070821,0,0.0,0.0,0,1,0.0,4976.95
68,1,15-JAN-24,14-JAN-25,2024,1203,68907.6,696.13,5000000068,2014,5,0,MPV,2000.0,长安,自用货物,6632.71,品牌E,50.59,0.0,0.168639,0.194474,3.85,0.014625,0,63.93,4514.65,1,1,7911.28,1447.18
69,1,07-SEP-23,06-SEP-24,2023,1203,265052.36,1682.71,5000000069,2020,4,17,皮卡,5100.0,宝马,自用货物,0.0,品牌E,52.74,0.0,0.034439,0.233363,0.54,0.113117,1,37.98,6118.51,0,1,0.0,956.1
70,1,22-DEC-22,22-DEC-23,2022,1202,106401.3,891.02,5000000070,2013,4,19,货车,4300.0,比亚迪,租赁,23106.94,品牌B,66.66,0.0,0.196409,0.140075,4.09,0.035642,0,73.66,6081.04,1,1,5774.12,5269.74
71,1,21-NOV-22,21-NOV-23,2022,1202,81707.45,454.25,5000000071,2022,5,0,SUV,2000.0,本田,商用,0.0,品牌E,47.86,0.0,0.028235,0.049741,1.69,0.097442,0,0.0,0.0,0,1,0.0,3959.34
72,0,17-JUN-22,17-JUN-23,2022,1205,474168.44,6962.27,5000000072,2018,2,16,皮卡,5600.0,别克,商用,0.0,品牌D,44.18,22.42,0.172157,0.060664,8.22,0.178125,0,65.38,5970.4,0,1,0.0,1487.48
73,1,18-MAY-22,18-MAY-23,2022,1202,458742.41,2809.6,5000000073,2016,4,2,客车,5400.0,奔驰,公务,46710.32,品牌C,36.33,33.42,0.171596,0.126138,7.77,0.078048,0,0.0,0.0,0,1,10572.13,5533.59
74,1,26-SEP-23,25-SEP-24,2023,1204,173718.67,2711.11,5000000074,2020,3,3,客车,2300.0,长安,公务,8538.88,品牌E,75.68,0.0,0.008223,0.115392,6.69,0.0479,0,0.0,0.0,0,1,6424.31,5193.71
75,1,17-JUL-22,17-JUL-23,2022,1204,397960.36,7039.03,5000000075,2016,7,0,MPV,2500.0,宝马,租赁,36588.99,品牌A,34.81,0.0,0.138997,0.105072,4.95,0.05463,0,0.0,0.0,0,1,8561.99,4155.58
76,0,07-AUG-23,06-AUG-24,2023,1205,147722.6,3244.45,5000000076,2014,5,0,MPV,3500.0,长安,商用,32881.43,品牌A,63.45,0.0,0.120284,0.152199,7.46,0.186392,0,0.0,0.0,0,1,6391.59,3106.0
77,0,13-JUN-22,13-JUN-23,2022,1202,300022.3,5033.31,5000000077,2012,5,0,MPV,1200.0,丰田,公务,0.0,品牌B,61.5,0.0,0.111129,0.117233,8.66,0.083748,1,72.87,6973.73,0,1,0.0,1181.4
78,1,04-MAR-24,04-MAR-25,2024,1201,152490.21,3419.49,5000000078,2022,7,0,MPV,3400.0,丰田,公务,0.0,品牌D,88.61,33.86,0.080523,0.038058,7.05,0.169499,0,0.0,0.0,0,1,0.0,2407.21
79,0,21-MAR-24,21-MAR-25,2024,1204,67706.69,1930.59,5000000079,2017,4,4,客车,5200.0,宝马,租赁,0.0,品牌C,49.21,83.92,0.116441,0.034607,4.69,0.082702,0,0.0,0.0,1,1,0.0,6524.85
80,1,07-JUN-22,07-JUN-23,2022,1205,301271.49,1614.69,5000000080,2021,4,1,客车,5200.0,本田,商用,0.0,品牌E,61.43,0.0,0.12738,0.110169,7.31,0.130581,0,0.0,0.0,0,1,0.0,8091.02
81,1,06-JUL-22,06-JUL-23,2022,1204,460994.75,10605.87,5000000081,2020,4,0,轿车,2900.0,长安,公务,0.0,品牌A,37.17,0.0,0.071483,0.297446,7.97,0.177448,0,0.0,0.0,0,1,0.0,2018.61
82,1,06-OCT-23,05-OCT-24,2023,1205,247115.77,2088.35,5000000082,2015,2,3,货车,5700.0,别克,公务,0.0,品牌E,65.32,0.0,0.079338,0.242518,9.69,0.079231,1,50.39,3697.91,0,1,0.0,2840.85
83,0,04-MAR-24,04-MAR-25,2024,1204,298304.79,8655.16,5000000083,2020,5,0,MPV,1400.0,本田,租赁,47940.43,品牌D,64.52,21.57,0.038628,0.293584,3.82,0.161456,1,74.65,5707.1,0,1,14341.22,3671.42
84,1,02-JUN-22,02-JUN-23,2022,1202,344668.36,2132.48,5000000084,2018,7,0,MPV,2400.0,奥迪,租赁,27403.23,品牌D,63.66,44.83,0.149411,0.237192,2.79,0.078868,0,0.0,0.0,1,1,8028.45,4502.54
85,1,17-MAR-23,16-MAR-24,2023,1206,355737.8,5190.69,5000000085,2015,4,7,皮卡,5500.0,比亚迪,公务,0.0,品牌C,95.92,52.81,0.107919,0.009449,8.2,0.108718,0,0.0,0.0,0,1,0.0,865.35
86,1,09-JUN-22,09-JUN-23,2022,1204,486560.88,6082.09,5000000086,2020,7,0,MPV,2300.0,宝马,公务,0.0,品牌E,34.92,0.0,0.177347,0.026098,1.2,0.119885,0,0.0,0.0,1,1,0.0,2352.12
87,1,11-AUG-22,11-AUG-23,2022,1203,146478.1,1701.98,5000000087,2017,4,18,客车,5700.0,长安,公务,0.0,品牌D,59.48,14.15,0.057249,0.228705,3.58,0.083596,0,52.37,5985.4,0,1,0.0,4276.37
88,1,27-SEP-23,26-SEP-24,2023,1201,268594.12,7617.88,5000000088,2022,4,0,MPV,1600.0,丰田,租赁,0.0,品牌A,86.03,0.0,0.085033,0.174191,7.87,0.143477,1,66.95,6524.44,1,1,0.0,3438.86
89,1,02-NOV-23,01-NOV-24,2023,1205,156441.39,3453.25,5000000089,2023,5,0,MPV,3100.0,本田,商用,0.0,品牌E,56.87,0.0,0.092521,0.293979,5.24,0.180817,1,76.4,3037.15,0,1,0.0,3845.85
90,0,03-JAN-24,02-JAN-25,2024,1204,418787.03,4341.58,5000000090,2015,4,17,皮卡,3200.0,本田,自用货物,0.0,品牌B,73.5,0.0,0.092726,0.22964,8.38,0.162656,0,0.0,0.0,1,1,0.0,896.97
91,1,31-MAY-22,31-MAY-23,2022,1201,120054.98,2003.62,5000000091,2020,3,1,皮卡,3500.0,别克,商用,0.0,品牌B,78.55,0.0,0.178755,0.068535,7.39,0.036546,0,0.0,0.0,1,1,0.0,1251.6
92,0,15-APR-23,14-APR-24,2023,1204,442207.87,9418.09,5000000092,2014,2,5,皮卡,3400.0,奥迪,家用,44970.14,品牌A,34.3,0.0,0.019728,0.15168,1.02,0.058739,0,0.0,0.0,1,1,10857.1,1191.71
93,1,08-MAR-24,08-MAR-25,2024,1204,164191.78,4376.48,5000000093,2016,2,2,货车,3700.0,比亚迪,租赁,0.0,品牌D,74.58,65.21,0.133584,0.097844,7.43,0.193506,0,0.0,0.0,1,1,0.0,4199.95
94,1,16-SEP-22,16-SEP-23,2022,1203,191132.81,4300.65,5000000094,2021,4,13,客车,2200.0,本田,商用,8543.36,品牌A,81.8,0.0,0.142858,0.075331,4.95,0.085469,0,0.0,0.0,1,1,9755.95,8694.82
95,0,09-FEB-24,08-FEB-25,2024,1201,453911.44,8482.57,5000000095,2024,3,13,客车,5600.0,奥迪,商用,0.0,品牌A,47.04,0.0,0.138923,0.157833,0.44,0.137297,0,87.29,3101.8,0,1,0.0,8863.71
96,1,14-NOV-23,13-NOV-24,2023,1202,384460.72,8854.09,5000000096,2019,2,15,客车,2200.0,宝马,商用,0.0,品牌B,57.25,0.0,0.086795,0.192578,3.95,0.11546,0,0.0,0.0,1,1,0.0,5849.66
97,0,09-MAY-23,08-MAY-24,2023,1203,435495.48,2261.38,5000000097,2023,2,3,客车,3600.0,奔驰,自用货物,0.0,品牌D,86.07,76.6,0.042757,0.001686,8.6,0.136083,0,0.0,0.0,1,1,0.0,5366.73
98,0,04-OCT-23,03-OCT-24,2023,1203,332022.67,8528.11,5000000098,2019,4,19,货车,4900.0,奥迪,商用,0.0,品牌E,94.37,0.0,0.121098,0.277427,7.0,0.086875,1,46.32,2885.63,0,1,0.0,5151.71
99,0,06-JUN-22,06-JUN-23,2022,1201,172756.73,2199.41,5000000099,2019,7,0,轿车,3100.0,别克,家用,0.0,品牌C,73.85,13.45,0.159436,0.28537,9.74,0.054489,0,0.0,0.0,0,1,0.0,1691.3
100,0,17-OCT-22,17-OCT-23,2022,1203,316121.78,7340.59,5000000100,2017,2,18,货车,5600.0,吉利,租赁,0.0,品牌B,84.49,0.0,0.101423,0.084641,5.95,0.033813,0,0.0,0.0,1,1,0.0,6082.24
101,1,20-FEB-23,20-FEB-24,2023,1205,353572.91,6092.13,5000000101,2015,4,0,SUV,2700.0,吉利,自用货物,26100.02,品牌B,79.32,0.0,0.133405,0.118854,9.24,0.109705,0,57.71,4184.7,0,1,2190.65,2755.49
102,0,16-JUL-22,16-JUL-23,2022,1201,253433.73,2681.25,5000000102,2017,3,2,客车,4100.0,本田,租赁,0.0,品牌E,84.45,0.0,0.042263,0.276951,1.46,0.075617,1,30.09,2504.33,1,1,0.0,7188.56
103,0,13-FEB-23,13-FEB-24,2023,1205,188956.82,2140.98,5000000103,2019,2,7,皮卡,5000.0,丰田,商用,0.0,品牌C,99.42,53.46,0.05812,0.115773,7.16,0.026207,1,72.09,6996.38,1,1,0.0,1196.57
104,1,28-SEP-22,28-SEP-23,2022,1205,190005.04,3207.91,5000000104,2018,7,0,轿车,1300.0,别克,租赁,0.0,品牌A,89.29,0.0,0.141234,0.228823,7.65,0.148502,1,54.78,4435.87,1,1,0.0,2025.47
105,1,24-OCT-23,23-OCT-24,2023,1206,201695.21,5461.69,5000000105,2022,2,4,客车,2400.0,比亚迪,商用,33273.59,品牌B,97.0,0.0,0.018045,0.227903,8.39,0.139053,1,57.65,5498.3,0,1,17499.33,8817.46
106,0,29-OCT-23,28-OCT-24,2023,1201,163806.04,4137.35,5000000106,2018,4,0,MPV,3100.0,丰田,家用,48049.4,品牌E,70.46,0.0,0.100007,0.083058,2.48,0.056138,0,55.77,6575.87,0,1,7360.01,2536.57
107,1,17-OCT-23,16-OCT-24,2023,1201,130393.81,1621.0,5000000107,2022,4,18,货车,5200.0,长安,租赁,0.0,品牌D,76.0,61.07,0.013632,0.223452,6.21,0.154069,0,0.0,0.0,0,1,0.0,7244.75
