SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID,brand,average_speed,avg_daily_charges,fatigue_driving_ratio,late_night_trip_ratio,avg_late_night_trip_mileage,high_temp_driving_ratio,battery_type_lfp,initial_battery_soc,avg_charge_duration,insurance_commercial_third_party,insurance_compulsory_third_party,average_loss
1,12-JAN-23,12-JAN-24,2023,1205,171985.02,3263.21,5000000010,2016,4,0,MPV,3300.0,别克,家用,7349.09,品牌D,46.45,90.15,0.149261,0.103284,9.49,0.063273,0,0.0,0.0,1,1,12546.09
0,27-JAN-24,26-JAN-25,2024,1204,78128.7,1276.41,5000000011,2016,2,3,皮卡,3700.0,长安,公务,4812.2,品牌A,91.28,0.0,0.05761,0.098429,9.94,0.093484,0,0.0,0.0,1,1,1729.3
1,26-MAR-23,25-MAR-24,2023,1206,402570.15,5327.18,5000000012,2013,5,0,MPV,2100.0,奔驰,自用货物,0.0,品牌D,57.37,54.11,0.183945,0.127938,7.43,0.102245,0,0.0,0.0,0,1,0.0
1,03-JAN-24,02-JAN-25,2024,1206,92218.43,2413.45,5000000013,2016,7,0,SUV,2500.0,本田,商用,0.0,品牌A,94.76,0.0,0.193278,0.119743,4.9,0.155092,1,55.62,4566.31,0,1,0.0
1,11-JUL-22,11-JUL-23,2022,1204,309230.56,4977.92,5000000014,2016,5,0,轿车,2900.0,长安,商用,0.0,品牌A,38.86,0.0,0.03914,0.139931,9.02,0.035089,0,0.0,0.0,0,1,0.0
1,04-JUN-23,03-JUN-24,2023,1203,395819.86,4867.82,5000000015,2017,2,8,客车,5300.0,比亚迪,家用,0.0,品牌A,88.22,0.0,0.095206,0.192494,7.06,0.018546,1,59.69,2342.86,1,1,0.0
1,08-MAR-24,08-MAR-25,2024,1204,389840.02,4988.86,5000000016,2023,7,0,轿车,1200.0,奔驰,商用,0.0,品牌D,35.21,78.17,0.129601,0.247155,4.17,0.078218,1,69.06,3371.8,1,1,0.0
0,22-OCT-22,22-OCT-23,2022,1204,121885.91,1821.43,5000000017,2018,5,0,轿车,1800.0,吉利,租赁,23701.91,品牌D,97.62,20.82,0.139912,0.237621,5.78,0.198168,0,0.0,0.0,1,1,6403.11
1,01-JUL-22,01-JUL-23,2022,1204,141376.57,3688.84,5000000018,2017,4,0,SUV,1500.0,奥迪,商用,16225.04,品牌E,48.34,0.0,0.187266,0.079512,4.02,0.145919,0,0.0,0.0,1,1,13518.32
0,29-AUG-23,28-AUG-24,2023,1204,192206.66,1944.07,5000000019,2019,7,0,SUV,2700.0,长安,商用,38410.2,品牌E,95.65,0.0,0.024738,0.064833,3.97,0.13307,0,83.77,2158.43,1,1,19752.8
0,06-JUL-23,05-JUL-24,2023,1203,194570.51,2690.58,5000000020,2020,5,0,MPV,2300.0,宝马,商用,0.0,品牌E,81.62,0.0,0.107198,0.140113,0.17,0.147867,1,42.92,5017.08,1,1,0.0
1,26-DEC-22,26-DEC-23,2022,1201,251550.55,5822.36,5000000021,2019,5,0,轿车,1500.0,奔驰,租赁,0.0,品牌A,96.42,0.0,0.18844,0.127714,3.54,0.082043,0,40.6,4472.92,1,1,0.0
1,13-MAR-23,12-MAR-24,2023,1206,441847.51,12988.76,5000000022,2023,5,0,轿车,1500.0,别克,商用,8540.88,品牌D,60.85,38.57,0.038824,0.097017,9.26,0.175909,1,36.11,2952.12,1,1,7111.95
0,08-FEB-23,08-FEB-24,2023,1205,67126.0,1523.63,5000000023,2016,4,0,MPV,1600.0,奥迪,自用货物,13757.69,品牌B,89.28,0.0,0.194683,0.248824,4.98,0.164246,0,0.0,0.0,0,1,741.43
0,23-JUN-22,23-JUN-23,2022,1203,351765.09,1868.75,5000000024,2022,3,9,皮卡,2800.0,奥迪,商用,0.0,品牌A,63.1,0.0,0.010577,0.123312,6.49,0.04749,1,70.99,3416.64,1,1,0.0
1,27-JUL-23,26-JUL-24,2023,1203,234823.83,4094.71,5000000025,2016,2,17,货车,2700.0,丰田,公务,49729.84,品牌E,48.24,0.0,0.141009,0.150017,8.31,0.106026,0,71.83,3771.55,1,1,7151.51
0,05-AUG-22,05-AUG-23,2022,1202,214418.3,5074.01,5000000026,2015,7,0,SUV,2600.0,比亚迪,公务,43005.82,品牌C,82.67,17.63,0.112868,0.127009,4.01,0.002797,0,0.0,0.0,0,1,4124.57
0,01-JAN-23,01-JAN-24,2023,1205,80998.2,512.46,5000000027,2021,4,0,轿车,1300.0,比亚迪,家用,0.0,品牌B,39.38,0.0,0.022147,0.133359,3.38,0.011399,0,0.0,0.0,1,1,0.0
0,23-MAY-23,22-MAY-24,2023,1206,394371.96,11717.4,5000000028,2015,4,4,货车,4400.0,长安,租赁,0.0,品牌E,95.39,0.0,0.0524,0.163049,0.98,0.160941,1,38.61,2552.83,0,1,0.0
1,22-SEP-22,22-SEP-23,2022,1201,436355.29,8539.16,5000000029,2018,4,12,皮卡,5400.0,丰田,商用,0.0,品牌D,94.68,24.24,0.073633,0.09426,6.99,0.005697,0,33.27,3400.72,0,1,0.0
1,23-MAY-22,23-MAY-23,2022,1205,375801.7,2158.02,5000000030,2021,4,0,SUV,3300.0,长安,商用,0.0,品牌C,32.64,74.24,0.118749,0.053424,8.5,0.080677,1,65.61,3158.73,1,1,0.0
0,26-NOV-22,26-NOV-23,2022,1202,482846.92,14443.93,5000000031,2022,4,0,MPV,3000.0,宝马,租赁,0.0,品牌E,53.88,0.0,0.096541,0.158442,9.61,0.18687,0,0.0,0.0,1,1,0.0
1,26-FEB-24,25-FEB-25,2024,1206,360013.12,6547.08,5000000032,2018,4,0,轿车,1900.0,宝马,公务,0.0,品牌B,73.85,0.0,0.141557,0.241185,0.69,0.149461,0,0.0,0.0,1,1,0.0
0,31-JAN-23,31-JAN-24,2023,1206,219631.7,2968.61,5000000033,2018,3,15,客车,2700.0,吉利,公务,0.0,品牌B,78.95,0.0,0.140974,0.124067,9.29,0.119004,0,0.0,0.0,1,1,0.0
1,20-JUN-22,20-JUN-23,2022,1205,393227.4,9403.82,5000000034,2021,5,0,轿车,2900.0,本田,自用货物,0.0,品牌A,60.41,0.0,0.142609,0.046399,2.02,0.039119,0,0.0,0.0,1,1,0.0
1,21-MAY-22,21-MAY-23,2022,1204,128082.79,1023.65,5000000035,2014,4,0,轿车,3200.0,比亚迪,家用,0.0,品牌E,99.21,0.0,0.02333,0.010075,2.79,0.017405,0,59.82,5136.53,1,1,0.0
1,04-DEC-22,04-DEC-23,2022,1202,277902.3,2447.45,5000000036,2021,4,0,MPV,2800.0,吉利,公务,0.0,品牌A,63.15,0.0,0.174211,0.186905,0.13,0.169831,0,0.0,0.0,0,1,0.0
1,24-AUG-23,23-AUG-24,2023,1201,95965.88,985.84,5000000037,2016,5,0,SUV,3100.0,长安,公务,0.0,品牌C,36.35,95.99,0.050138,0.157924,3.72,0.139772,1,76.48,5726.21,0,1,0.0
0,19-AUG-22,19-AUG-23,2022,1204,391825.2,11350.26,5000000038,2021,2,14,客车,3300.0,别克,商用,0.0,品牌A,31.94,0.0,0.08843,0.095273,1.75,0.027107,0,0.0,0.0,0,1,0.0
0,27-MAY-22,27-MAY-23,2022,1203,496744.74,11484.7,5000000039,2014,4,0,轿车,2200.0,别克,公务,0.0,品牌C,71.38,81.01,0.104967,0.266346,7.13,0.061046,0,49.98,2859.0,1,1,0.0
1,18-NOV-22,18-NOV-23,2022,1201,437170.61,3205.2,5000000040,2017,5,0,轿车,1300.0,丰田,商用,0.0,品牌A,61.54,0.0,0.115696,0.149593,5.18,0.089297,0,0.0,0.0,0,1,0.0
0,08-MAR-23,07-MAR-24,2023,1205,174595.84,3473.04,5000000041,2022,2,3,客车,4900.0,比亚迪,家用,0.0,品牌C,88.48,88.86,0.017442,0.258595,0.62,0.038448,0,0.0,0.0,1,1,0.0
1,12-OCT-23,11-OCT-24,2023,1202,165104.54,4486.06,5000000042,2021,4,17,皮卡,5600.0,宝马,自用货物,0.0,品牌A,85.6,0.0,0.033808,0.270549,9.06,0.125214,0,0.0,0.0,0,1,0.0
0,09-OCT-22,09-OCT-23,2022,1201,492984.53,7435.91,5000000043,2020,4,20,皮卡,5500.0,大众,公务,9128.66,品牌C,82.58,44.12,0.086464,0.23779,0.38,0.021909,1,72.74,4097.73,1,1,4473.96
0,19-FEB-24,18-FEB-25,2024,1205,335023.89,1737.38,5000000044,2021,5,0,MPV,3200.0,大众,家用,0.0,品牌B,52.62,0.0,0.156603,0.215832,8.82,0.176054,0,0.0,0.0,1,1,0.0
0,08-MAY-24,08-MAY-25,2024,1204,456734.94,9415.06,5000000045,2016,3,13,客车,3600.0,丰田,租赁,0.0,品牌D,56.02,72.09,0.011166,0.251586,4.82,0.152663,0,62.24,4659.62,1,1,0.0
0,09-MAR-24,09-MAR-25,2024,1205,371614.18,6437.93,5000000046,2022,7,0,轿车,2600.0,丰田,商用,0.0,品牌C,91.58,42.52,0.100182,0.115931,3.49,0.13396,1,89.86,2851.51,1,1,0.0
0,02-JUL-23,01-JUL-24,2023,1206,341390.14,4077.14,5000000047,2019,4,15,货车,2700.0,吉利,商用,0.0,品牌B,40.82,0.0,0.072281,0.14891,5.0,0.180781,0,0.0,0.0,0,1,0.0
1,27-SEP-22,27-SEP-23,2022,1204,102710.34,2406.47,5000000048,2014,5,0,轿车,3400.0,宝马,自用货物,0.0,品牌D,30.86,77.67,0.03167,0.030559,9.25,0.137059,0,0.0,0.0,0,1,0.0
0,17-JAN-23,17-JAN-24,2023,1204,314689.49,3824.59,5000000049,2022,4,15,客车,4300.0,别克,自用货物,0.0,品牌D,76.85,58.8,0.110214,0.023284,4.18,0.129611,1,47.91,6909.58,0,1,0.0
0,25-JAN-24,24-JAN-25,2024,1204,147298.76,2315.72,5000000050,2016,3,3,客车,5200.0,吉利,租赁,0.0,品牌B,56.97,0.0,0.074913,0.000409,1.56,0.199215,1,64.33,6197.88,1,1,0.0
1,08-SEP-22,08-SEP-23,2022,1203,475168.64,12825.1,5000000051,2013,2,10,客车,4100.0,长安,自用货物,0.0,品牌D,76.24,33.14,0.072116,0.183098,5.96,0.044212,0,52.89,2731.49,1,1,0.0
1,17-FEB-24,16-FEB-25,2024,1206,310144.01,5052.11,5000000052,2015,4,0,轿车,2800.0,奥迪,自用货物,46428.99,品牌C,35.09,50.76,0.186416,0.207394,4.86,0.035886,1,48.83,5872.69,1,1,17283.57
0,30-NOV-22,30-NOV-23,2022,1202,246554.96,5395.06,5000000053,2015,5,0,轿车,1800.0,比亚迪,公务,0.0,品牌D,64.79,84.31,0.022622,0.249731,1.75,0.064553,1,68.21,4407.24,1,1,0.0
1,15-NOV-23,14-NOV-24,2023,1203,238284.5,3896.8,5000000054,2021,4,0,轿车,3000.0,奔驰,家用,0.0,品牌C,76.05,33.64,0.013796,0.032694,2.78,0.095701,0,0.0,0.0,0,1,0.0
0,19-AUG-23,18-AUG-24,2023,1206,434713.4,6561.9,5000000055,2013,4,0,轿车,3100.0,比亚迪,租赁,0.0,品牌A,33.4,0.0,0.025427,0.208326,1.97,0.024705,0,82.82,4624.06,1,1,0.0
0,07-FEB-23,07-FEB-24,2023,1202,333069.67,2165.56,5000000056,2015,2,4,货车,4000.0,比亚迪,家用,0.0,品牌B,88.99,0.0,0.172322,0.188088,9.98,0.149764,0,0.0,0.0,1,1,0.0
0,03-NOV-22,03-NOV-23,2022,1203,112317.07,775.12,5000000057,2015,2,4,货车,4800.0,本田,公务,26472.48,品牌D,79.54,14.41,0.116855,0.117424,3.42,0.192055,0,0.0,0.0,0,1,3886.33
1,22-JAN-23,22-JAN-24,2023,1204,344632.23,2166.54,5000000058,2015,7,0,MPV,1300.0,奔驰,自用货物,0.0,品牌C,79.96,77.17,0.052976,0.191469,0.12,0.011731,0,0.0,0.0,1,1,0.0
1,31-MAY-23,30-MAY-24,2023,1204,353653.14,3476.47,5000000059,2018,4,7,皮卡,4000.0,宝马,家用,28706.02,品牌E,89.0,0.0,0.073127,0.089753,8.28,0.067247,0,0.0,0.0,1,1,15617.1
1,15-DEC-23,14-DEC-24,2023,1201,438737.46,9506.17,5000000060,2022,4,3,客车,4800.0,别克,家用,0.0,品牌C,54.34,33.59,0.077554,0.016373,0.54,0.007768,0,0.0,0.0,1,1,0.0
1,21-NOV-23,20-NOV-24,2023,1201,374676.46,11170.16,5000000061,2015,4,0,MPV,3200.0,吉利,公务,0.0,品牌D,83.05,46.14,0.063019,0.084622,0.95,0.197112,0,0.0,0.0,0,1,0.0
0,06-SEP-22,06-SEP-23,2022,1202,73517.99,2157.37,5000000062,2018,3,1,皮卡,2800.0,比亚迪,租赁,0.0,品牌A,37.8,0.0,0.035013,0.01209,2.41,0.022902,0,65.7,4159.67,1,1,0.0
0,12-MAR-23,11-MAR-24,2023,1202,393382.42,3486.72,5000000063,2022,4,4,皮卡,3700.0,长安,商用,14312.1,品牌C,44.51,75.53,0.140976,0.080718,7.77,0.009248,1,65.48,4491.77,1,1,15163.43
0,23-OCT-22,23-OCT-23,2022,1205,290958.9,4251.44,5000000064,2021,4,14,皮卡,4800.0,丰田,自用货物,0.0,品牌B,92.51,0.0,0.133232,0.165892,5.8,0.169195,1,53.67,6509.99,1,1,0.0
1,21-DEC-23,20-DEC-24,2023,1204,200091.89,5054.89,5000000065,2022,4,0,轿车,3300.0,奥迪,商用,0.0,品牌C,72.22,82.21,0.047819,0.054433,3.19,0.170839,1,55.75,3836.47,1,1,0.0
1,04-FEB-24,03-FEB-25,2024,1202,198171.51,4489.08,5000000066,2020,3,8,货车,2300.0,奥迪,租赁,0.0,品牌E,51.56,0.0,0.144096,0.247972,7.07,0.170534,0,0.0,0.0,0,1,0.0
1,09-JUL-23,08-JUL-24,2023,1206,132133.78,2480.32,5000000067,2018,2,13,皮卡,2500.0,大众,家用,4454.2,品牌D,47.48,42.82,0.145109,0.003542,2.13,0.124855,1,66.98,5290.59,1,1,9690.44
0,07-MAR-23,06-MAR-24,2023,1205,450069.45,6706.14,5000000068,2017,4,0,SUV,3100.0,奔驰,租赁,0.0,品牌D,33.08,82.95,0.021476,0.034016,0.74,0.062145,1,84.89,5906.93,1,1,0.0
0,01-JUN-22,01-JUN-23,2022,1206,127896.19,1488.93,5000000069,2022,4,0,轿车,1500.0,奔驰,家用,0.0,品牌A,78.05,0.0,0.083841,0.111064,2.26,0.166935,0,52.67,5005.78,0,1,0.0
0,19-SEP-23,18-SEP-24,2023,1204,492725.26,14559.31,5000000070,2015,4,11,皮卡,5500.0,奥迪,家用,0.0,品牌C,42.26,69.99,0.15169,0.05209,0.19,0.033247,1,88.2,2116.67,0,1,0.0
1,27-DEC-22,27-DEC-23,2022,1202,83115.0,2277.4,5000000071,2015,5,0,MPV,2100.0,奔驰,家用,0.0,品牌D,37.93,20.28,0.11011,0.045427,1.32,0.044461,1,36.05,6346.19,1,1,0.0
0,27-OCT-22,27-OCT-23,2022,1205,450605.23,4191.38,5000000072,2015,3,4,客车,2900.0,比亚迪,租赁,26635.09,品牌A,93.46,0.0,0.133223,0.095581,0.38,0.051965,0,0.0,0.0,0,1,9143.69
1,23-OCT-23,22-OCT-24,2023,1204,461618.91,2318.33,5000000073,2023,2,9,皮卡,2300.0,比亚迪,自用货物,37490.62,品牌E,50.25,0.0,0.176925,0.141212,5.1,0.157249,0,0.0,0.0,0,1,14694.35
1,30-MAY-22,30-MAY-23,2022,1201,175141.16,2320.63,5000000074,2017,2,20,客车,3200.0,大众,商用,0.0,品牌D,81.6,90.09,0.109484,0.289497,3.03,0.139657,0,0.0,0.0,1,1,0.0
1,09-JUL-22,09-JUL-23,2022,1201,90689.95,1251.87,5000000075,2017,7,0,MPV,2800.0,别克,公务,0.0,品牌B,76.26,0.0,0.198913,0.288906,4.72,0.016141,0,70.9,2150.2,0,1,0.0
0,03-AUG-22,03-AUG-23,2022,1206,263716.86,7820.14,5000000076,2016,3,14,货车,2100.0,本田,商用,0.0,品牌D,44.98,33.44,0.128843,0.03353,6.51,0.099124,0,0.0,0.0,1,1,0.0
0,01-AUG-23,31-JUL-24,2023,1201,459412.23,5440.11,5000000077,2017,4,3,客车,3100.0,奥迪,商用,0.0,品牌A,63.89,0.0,0.109162,0.164722,7.76,0.124831,0,54.5,4280.19,1,1,0.0
0,21-AUG-22,21-AUG-23,2022,1204,268883.38,2403.26,5000000078,2020,3,8,货车,3700.0,丰田,自用货物,0.0,品牌B,30.14,0.0,0.021782,0.122,1.14,0.08267,0,73.4,3252.38,1,1,0.0
0,05-JUN-23,04-JUN-24,2023,1204,160483.64,3384.72,5000000079,2017,3,15,货车,5500.0,奥迪,租赁,38883.97,品牌A,38.43,0.0,0.149879,0.096442,7.45,0.009387,0,0.0,0.0,1,1,19065.07
1,28-DEC-22,28-DEC-23,2022,1205,336349.53,6658.84,5000000080,2014,4,13,客车,5600.0,吉利,公务,0.0,品牌C,74.8,40.04,0.109665,0.249145,4.35,0.002437,1,35.22,4959.22,1,1,0.0
1,22-APR-24,22-APR-25,2024,1202,102976.76,1361.1,5000000081,2021,5,0,SUV,3200.0,丰田,公务,6719.96,品牌E,65.47,0.0,0.140902,0.138158,4.51,0.198903,0,0.0,0.0,0,1,4699.65
1,11-APR-24,11-APR-25,2024,1205,156051.24,2550.93,5000000082,2017,4,0,轿车,2200.0,长安,自用货物,0.0,品牌C,86.87,94.45,0.119324,0.080985,8.39,0.095037,0,0.0,0.0,0,1,0.0
1,04-AUG-22,04-AUG-23,2022,1204,267488.8,4474.33,5000000083,2018,3,19,货车,2300.0,奥迪,家用,0.0,品牌B,79.42,0.0,0.057274,0.019848,5.78,0.100311,0,0.0,0.0,0,1,0.0
1,16-JUL-22,16-JUL-23,2022,1202,228737.52,1614.0,5000000084,2021,3,18,客车,5400.0,比亚迪,自用货物,24925.49,品牌C,60.47,83.27,0.048529,0.296374,9.35,0.006901,0,0.0,0.0,0,1,2638.75
1,18-MAR-24,18-MAR-25,2024,1203,176326.89,1665.4,5000000085,2024,4,0,SUV,1800.0,长安,自用货物,0.0,品牌B,72.4,0.0,0.131593,0.141004,3.35,0.036565,1,30.7,6630.1,0,1,0.0
0,25-MAY-22,25-MAY-23,2022,1201,299727.5,4548.61,5000000086,2022,4,0,MPV,1400.0,大众,租赁,38915.5,品牌D,49.05,27.81,0.190402,0.122428,2.93,0.148325,1,41.99,3895.81,0,1,10352.93
0,21-APR-23,20-APR-24,2023,1206,254289.92,4594.69,5000000087,2019,5,0,轿车,2200.0,奔驰,自用货物,0.0,品牌B,91.03,0.0,0.14528,0.194504,7.46,0.132547,0,0.0,0.0,0,1,0.0
0,15-FEB-24,14-FEB-25,2024,1204,405065.68,11562.82,5000000088,2024,4,0,MPV,1000.0,奥迪,商用,0.0,品牌D,97.84,91.26,0.134829,0.17319,7.21,0.092713,1,87.88,3590.61,0,1,0.0
1,01-DEC-23,30-NOV-24,2023,1202,465093.07,5839.35,5000000089,2014,2,3,皮卡,3900.0,奔驰,家用,0.0,品牌D,70.72,40.34,0.034753,0.054841,4.98,0.079116,0,50.83,2309.3,0,1,0.0
0,14-JUN-22,14-JUN-23,2022,1201,297942.27,8210.81,5000000090,2016,5,0,轿车,2100.0,本田,租赁,0.0,品牌B,69.73,0.0,0.169404,0.271409,1.34,0.05304,0,0.0,0.0,1,1,0.0
1,26-APR-24,26-APR-25,2024,1201,232827.14,4258.18,5000000091,2024,5,0,MPV,1100.0,吉利,自用货物,9120.7,品牌C,64.62,20.76,0.061932,0.017185,5.88,0.079189,0,0.0,0.0,1,1,4020.65
0,03-AUG-22,03-AUG-23,2022,1201,290074.67,4510.6,5000000092,2013,5,0,MPV,1600.0,长安,家用,0.0,品牌E,32.25,0.0,0.088458,0.248189,0.73,0.051703,1,45.8,1981.98,0,1,0.0
0,10-FEB-24,09-FEB-25,2024,1203,51740.87,1314.71,5000000093,2020,3,10,客车,2500.0,本田,商用,0.0,品牌A,93.58,0.0,0.196402,0.071075,5.66,0.053968,0,34.6,2373.46,1,1,0.0
1,15-JUN-22,15-JUN-23,2022,1203,388306.72,8471.62,5000000094,2016,7,0,MPV,2100.0,比亚迪,公务,0.0,品牌C,72.14,27.0,0.137375,0.141722,7.23,0.003585,0,45.28,5839.51,0,1,0.0
1,04-OCT-23,03-OCT-24,2023,1202,275722.1,1917.73,5000000095,2016,4,3,皮卡,2700.0,宝马,商用,0.0,品牌C,72.88,80.98,0.150866,0.086846,5.89,0.199662,0,0.0,0.0,1,1,0.0
1,22-SEP-22,22-SEP-23,2022,1203,345036.28,7265.79,5000000096,2012,2,2,货车,2600.0,长安,商用,0.0,品牌D,54.33,23.42,0.042573,0.186571,1.91,0.162157,0,39.96,6396.14,0,1,0.0
0,28-NOV-23,27-NOV-24,2023,1205,327459.17,9239.08,5000000097,2015,5,0,SUV,2600.0,奔驰,租赁,0.0,品牌D,96.52,15.75,0.187789,0.252229,0.2,0.158518,0,0.0,0.0,0,1,0.0
0,20-JAN-23,20-JAN-24,2023,1206,223958.54,2105.7,5000000098,2018,4,9,客车,5300.0,别克,租赁,0.0,品牌B,74.99,0.0,0.036041,0.145223,0.62,0.117232,0,0.0,0.0,1,1,0.0
0,17-AUG-23,16-AUG-24,2023,1202,414500.54,6940.64,5000000099,2013,4,0,SUV,3400.0,本田,商用,14280.74,品牌B,77.4,0.0,0.156457,0.228999,9.92,0.12888,0,0.0,0.0,1,1,12486.0
0,27-JUL-23,26-JUL-24,2023,1205,318222.44,5255.24,5000000100,2016,3,11,客车,2300.0,丰田,商用,0.0,品牌D,39.06,75.71,0.077744,0.190316,0.37,0.05881,0,36.92,4187.04,0,1,0.0
1,29-APR-23,28-APR-24,2023,1204,426364.72,10685.77,5000000101,2016,4,0,MPV,2200.0,别克,租赁,0.0,品牌C,69.73,15.56,0.133149,0.04439,1.86,0.07262,0,61.02,5446.03,0,1,0.0
1,18-JAN-23,18-JAN-24,2023,1202,462350.31,5356.24,5000000102,2013,2,11,货车,3400.0,宝马,家用,46526.86,品牌E,68.89,0.0,0.180358,0.298562,8.28,0.180135,0,66.19,3311.32,1,1,14225.87
1,05-FEB-23,05-FEB-24,2023,1206,334123.93,4905.51,5000000103,2016,3,5,客车,3600.0,宝马,租赁,9039.84,品牌A,92.65,0.0,0.123587,0.290752,8.06,0.094126,0,0.0,0.0,1,1,19112.0
1,16-FEB-23,16-FEB-24,2023,1205,303492.34,4201.98,5000000104,2013,4,0,SUV,1100.0,奥迪,自用货物,0.0,品牌E,32.18,0.0,0.165678,0.018178,1.83,0.05477,0,0.0,0.0,1,1,0.0
0,23-OCT-22,23-OCT-23,2022,1204,365489.5,3775.08,5000000105,2013,7,0,SUV,2600.0,吉利,自用货物,0.0,品牌A,77.45,0.0,0.053822,0.062172,1.69,0.138759,0,62.65,2667.52,1,1,0.0
0,21-NOV-23,20-NOV-24,2023,1203,59973.0,1778.47,5000000106,2022,4,8,货车,5000.0,大众,租赁,15066.97,品牌D,85.67,75.59,0.074819,0.072485,3.18,0.102671,0,0.0,0.0,0,1,17308.71
1,18-OCT-23,17-OCT-24,2023,1205,212861.84,1592.95,5000000107,2016,7,0,SUV,1200.0,奔驰,家用,0.0,品牌C,89.66,74.62,0.12021,0.003723,8.53,0.114919,1,53.81,6489.69,1,1,0.0
1,29-MAR-23,28-MAR-24,2023,1202,220651.53,4203.38,5000000108,2013,2,18,皮卡,4700.0,奔驰,家用,0.0,品牌B,95.73,0.0,0.164704,0.20681,9.85,0.054404,1,44.84,2304.16,1,1,0.0
0,10-SEP-22,10-SEP-23,2022,1206,135888.05,2897.14,5000000109,2015,4,14,客车,5600.0,本田,商用,0.0,品牌C,67.68,80.39,0.057632,0.140436,0.37,0.137228,0,0.0,0.0,0,1,0.0
1,15-AUG-22,15-AUG-23,2022,1202,484066.62,10680.83,5000000110,2017,5,0,SUV,2900.0,奥迪,家用,0.0,品牌D,35.31,28.15,0.12184,0.224787,3.5,0.113134,1,85.21,5546.81,1,1,0.0
1,13-APR-24,13-APR-25,2024,1204,129705.68,1519.13,5000000111,2022,7,0,SUV,1200.0,本田,租赁,0.0,品牌C,47.31,74.83,0.167499,0.113139,4.07,0.180695,0,0.0,0.0,0,1,0.0
0,25-JUL-23,24-JUL-24,2023,1201,354550.22,4877.11,5000000112,2015,3,10,客车,2600.0,奔驰,家用,0.0,品牌E,78.37,0.0,0.050623,0.139401,0.53,0.009803,0,0.0,0.0,1,1,0.0
0,13-AUG-22,13-AUG-23,2022,1201,279465.12,6344.69,5000000113,2014,3,19,皮卡,2800.0,长安,自用货物,0.0,品牌E,98.0,0.0,0.127155,0.082014,4.71,0.15576,1,57.85,6867.08,0,1,0.0
